Личный номер,ФИО,Группа,Финансирование,Пол,Город постоянной регистрации
23И5645,Аверкий Васильевич Степанов,ИВБО-91-20,Б,М,Саратов
20И1178,Горшков Мечислав Федотович,ИВБО-91-20,Б,М,Чебоксары
21И9204,Екатерина Ильинична Тихонова,ИВБО-91-20,Б,Ж,Курган
22И7113,Князева Людмила Даниловна,ИВБО-91-20,К,Ж,Тольятти
22И8524,Калашников Парамон Димитриевич,ИВБО-91-20,Б,М,Набережные Челны
22И4066,Харитонова Евгения Эльдаровна,ИВБО-91-20,Б,Ж,Чита
23И0611,Варвара Тарасовна Дорофеева,ИВБО-91-20,К,Ж,Мурманск
23И4664,Лариса Филипповна Сазонова,ИВБО-91-20,Б,Ж,Владивосток
21И4545,Филиппова Ольга Степановна,ИВБО-91-20,К,Ж,Брянск
22И0864,Олег Анатольевич Чернов,ИВБО-91-20,Б,М,Сочи
22И3107,Прасковья Федоровна Калашникова,ИВБО-91-20,К,Ж,Пенза
20И1766,Маргарита Максимовна Щукина,ИВБО-91-20,Б,Ж,Петрозаводск
21И7770,Беляев Всеслав Феофанович,ИВБО-91-20,Б,М,Ростов-на-Дону
20И9679,Изот Антипович Михеев,ИВБО-91-20,Б,М,Тверь
21И3361,Виссарион Давыдович Носов,ИВБО-91-20,Б,М,Брянск
22И0410,Виталий Фомич Корнилов,ИВБО-91-20,Б,М,Ангарск
20И8136,Харитонова Наина Натановна,ИВБО-91-20,К,Ж,Курск
20И0739,Нонна Афанасьевна Панфилова,ИВБО-91-20,К,Ж,Екатеринбург
23И9995,Абрамов Гедеон Брониславович,ИВБО-91-20,К,М,Таганрог
22И0208,Андреев Ираклий Феоктистович,ИВБО-91-20,Б,М,Ростов-на-Дону
23И9179,Светлана Болеславовна Турова,ИВБО-91-20,Б,Ж,Брянск
23И1166,Евпраксия Игоревна Кондратьева,ИВБО-91-20,К,Ж,Калуга
20И9043,Меркушев Ростислав Фролович,ИВБО-91-20,К,М,Калуга
20И7580,Харитонова Кира Аркадьевна,ИВБО-91-20,Б,Ж,Пермь
20И1655,Трофимов Валерий Васильевич,ИВБО-91-20,К,М,Саратов
22И1383,Алла Львовна Петрова,ИВБО-91-20,К,Ж,Ярославль
21И7494,Гурьев Емельян Харлампович,ИВБО-91-20,Б,М,Калуга
21И8702,Матвеев Мир Августович,ИВБО-91-20,К,М,Сыктывкар
21И6127,Эмилия Георгиевна Полякова,ИЭБО-01-20,К,Ж,Сургут
21И4014,Фотий Владиленович Васильев,ИЭБО-01-20,К,М,Астрахань
23И3863,Пров Гавриилович Блохин,ИЭБО-01-20,К,М,Тюмень
23И7317,Алла Геннадьевна Юдина,ИЭБО-01-20,К,Ж,Сургут
23И8034,Орехов Иннокентий Борисович,ИЭБО-01-20,К,М,Казань
21И4483,Олимпиада Васильевна Прохорова,ИЭБО-01-20,Б,Ж,Архангельск
23И7408,Арсений Герасимович Симонов,ИЭБО-01-20,Б,М,Таганрог
21И9444,Будимир Антонович Самойлов,ИЭБО-01-20,К,М,Саратов
20И3396,г-жа Баранова Наталья Альбертовна,ИЭБО-01-20,Б,Ж,Оренбург
22И5279,Григорьева Прасковья Петровна,ИЭБО-01-20,Б,Ж,Курск
20И6835,Леонид Харламович Мишин,ИЭБО-01-20,К,М,Кемерово
20И6505,Оксана Кирилловна Гущина,ИЭБО-01-20,К,Ж,Калининград
23И2776,Куприян Фролович Молчанов,ИЭБО-01-20,Б,М,Челябинск
22И5252,Иванна Тимуровна Калашникова,ИЭБО-01-20,Б,Ж,Петрозаводск
21И3267,Феврония Федоровна Воробьева,ИЭБО-01-20,Б,Ж,Тюмень
23И6983,Исаев Мечислав Антонович,ИЭБО-01-20,К,М,Екатеринбург
21И1349,Семенов Мокей Игнатьевич,ИЭБО-01-20,К,М,Мариуполь
20И2170,Людмила Богдановна Назарова,ИЭБО-01-20,К,Ж,Смоленск
23И5544,Гурьев Мефодий Бориславович,ИЭБО-01-20,Б,М,Новороссийск
23И4205,Шилова Людмила Ивановна,ИЭБО-01-20,К,Ж,Тула
20И1211,Моисеева Эмилия Федоровна,ИЭБО-01-20,Б,Ж,Петрозаводск
21И7681,Радим Евсеевич Стрелков,ИЭБО-01-20,К,М,Рязань
20И5788,Фролов Роман Матвеевич,ИЭБО-01-20,Б,М,Ульяновск
20И7973,Иванов Сильвестр Адрианович,ИЭБО-01-20,Б,М,Тула
21И7788,Викентий Егорович Куликов,ИЭБО-01-20,Б,М,Набережные Челны
23И8643,Игнатьева Алевтина Харитоновна,ИЭБО-01-20,Б,Ж,Петрозаводск
20И0075,Никитина Анна Эльдаровна,ИЭБО-01-20,К,Ж,Краснодар
21И4463,Дементий Феоктистович Кириллов,ИЭБО-01-20,Б,М,Казань
23И1137,Корнил Валерианович Ефремов,ИЭБО-01-20,Б,М,Кемерово
22И2308,Варвара Юрьевна Евсеева,ИЭБО-01-20,Б,Ж,Иваново
20И0083,Евсеев Аполлон Артурович,ИКБО-53-20,К,М,Таганрог
22И3491,Поликарп Аксёнович Сысоев,ИКБО-53-20,К,М,Хабаровск
23И8482,Новикова Пелагея Матвеевна,ИКБО-53-20,К,Ж,Москва
23И1306,Мария Наумовна Кузьмина,ИКБО-53-20,К,Ж,Саратов
20И6630,Белоусов Олег Аверьянович,ИКБО-53-20,Б,М,Волгоград
20И8569,Кулакова Вероника Вадимовна,ИКБО-53-20,Б,Ж,Чебоксары
22И0429,Казимир Вилорович Жуков,ИКБО-53-20,Б,М,Чита
22И5655,Синклитикия Тимофеевна Лаврентьева,ИКБО-53-20,К,Ж,Красноярск
20И2250,Шашкова Ульяна Рудольфовна,ИКБО-53-20,К,Ж,Махачкала
22И9951,тов. Михайлова Анжелика Семеновна,ИКБО-53-20,Б,Ж,Киров
23И6772,Кирилл Марсович Носков,ИКБО-53-20,К,М,Тула
20И5549,Лариса Ниловна Беляева,ИКБО-53-20,Б,Ж,Калининград
22И4812,Аггей Гурьевич Доронин,ИКБО-53-20,Б,М,Сыктывкар
21И8885,Рыбаков Давыд Еремеевич,ИКБО-53-20,К,М,Липецк
22И9736,Кир Витальевич Белоусов,ИКБО-53-20,Б,М,Владикавказ
22И0264,Александров Роман Артемьевич,ИКБО-53-20,Б,М,Курск
23И4671,Фёкла Геннадьевна Герасимова,ИКБО-53-20,К,Ж,Петрозаводск
20И5059,Платон Аксёнович Николаев,ИКБО-53-20,Б,М,Пермь
21И2218,Венедикт Ермолаевич Куликов,ИКБО-53-20,К,М,Пермь
22И4966,Зыков Ефим Эдуардович,ИКБО-53-20,К,М,Уфа
22И8360,Кабанова Валерия Ефимовна,ИКБО-53-20,К,Ж,Оренбург
23И0546,Пономарев Виссарион Эдгардович,ИКБО-53-20,Б,М,Москва
23И0186,Вишняков Фрол Феодосьевич,ИКБО-53-20,Б,М,Нижний Новгород
21И0944,Владимиров Евлампий Ефремович,ИКБО-53-20,К,М,Набережные Челны
21И7113,Шарапова Феврония Дмитриевна,ИКБО-53-20,К,Ж,Самара
20И4896,Мина Трифонович Иванов,ИКБО-53-20,Б,М,Самара
22И9613,Суханов Гостомысл Игоревич,ИКБО-53-20,Б,М,Воронеж
22И0988,Любовь Рубеновна Егорова,ИКБО-53-20,Б,Ж,Красноярск
20И0445,Агата Васильевна Егорова,ИКБО-53-20,К,Ж,Кострома
20И0345,Карпов Потап Авдеевич,ИКБО-53-20,К,М,Рязань
22И5215,Дьячков Станислав Захарьевич,ИЭБО-46-23,Б,М,Ростов-на-Дону
22И9392,Зимин Исай Власович,ИЭБО-46-23,Б,М,Сургут
20И7275,Агап Ермолаевич Вишняков,ИЭБО-46-23,К,М,Тула
20И4484,Евпраксия Васильевна Молчанова,ИЭБО-46-23,Б,Ж,Брянск
22И3130,Иванна Тимуровна Сысоева,ИЭБО-46-23,К,Ж,Чебоксары
20И5023,Герасим Витальевич Фролов,ИЭБО-46-23,К,М,Киров
22И6105,Ульяна Владимировна Бурова,ИЭБО-46-23,К,Ж,Москва
23И3792,Кондрат Валерьевич Авдеев,ИЭБО-46-23,Б,М,Санкт-Петербург
20И2113,Самойлова Светлана Ниловна,ИЭБО-46-23,К,Ж,Махачкала
22И5406,Дорофеева Нонна Геннадьевна,ИЭБО-46-23,Б,Ж,Пенза
22И6160,Дементьева Екатерина Антоновна,ИЭБО-46-23,К,Ж,Новосибирск
21И7934,Волков Мокей Брониславович,ИЭБО-46-23,Б,М,Курган
21И0578,Юлий Архипович Кириллов,ИЭБО-46-23,Б,М,Уфа
20И0316,Ильин Амвросий Архипович,ИЭБО-46-23,К,М,Мурманск
22И2524,Спиридон Дмитриевич Сидоров,ИЭБО-46-23,Б,М,Бийск
21И4982,Александра Робертовна Гуляева,ИЭБО-46-23,Б,Ж,Ижевск
23И4565,Герасимов Евлампий Абрамович,ИЭБО-46-23,К,М,Омск
21И8455,Доброслав Фёдорович Авдеев,ИЭБО-46-23,Б,М,Москва
21И8497,Степанова Анастасия Станиславовна,ИЭБО-46-23,К,Ж,Смоленск
21И0995,Богданов Изяслав Фролович,ИЭБО-46-23,К,М,Ярославль
22И0573,Фрол Феоктистович Стрелков,ИЭБО-46-23,К,М,Набережные Челны
20И5546,Кабанов Филарет Федосеевич,ИЭБО-46-23,К,М,Смоленск
23И9892,Казаков Исидор Ефимьевич,ИЭБО-46-23,Б,М,Иркутск
20И8808,Константинов Афиноген Бориславович,ИЭБО-46-23,Б,М,Иркутск
20И1404,Максимова Ирина Кирилловна,ИЭБО-46-23,Б,Ж,Архангельск
20И5276,Агафья Валентиновна Савельева,ИЭБО-46-23,К,Ж,Сургут
23И0377,Адриан Андреевич Сазонов,ИЭБО-46-23,Б,М,Новороссийск
20И8935,Сазонов Феоктист Валерианович,ИЭБО-46-23,Б,М,Архангельск
20И7269,Ярополк Авдеевич Лобанов,ИЭБО-46-23,Б,М,Бийск
23И2121,Осип Федосеевич Трофимов,ИЭБО-46-23,К,М,Барнаул
23И1360,Ульяна Рудольфовна Исаева,ИНБО-50-22,Б,Ж,Ангарск
22И0042,Борислав Феофанович Лыткин,ИНБО-50-22,Б,М,Самара
20И5288,Дроздов Георгий Всеволодович,ИНБО-50-22,Б,М,Калининград
21И8212,Сигизмунд Марсович Родионов,ИНБО-50-22,К,М,Астрахань
20И7866,Сысоев Герасим Филимонович,ИНБО-50-22,К,М,Бийск
23И9572,Прасковья Кирилловна Емельянова,ИНБО-50-22,К,Ж,Чебоксары
21И8319,Рюрик Ануфриевич Наумов,ИНБО-50-22,К,М,Ижевск
23И9489,Родионова Агафья Вадимовна,ИНБО-50-22,К,Ж,Кемерово
20И5183,Константинова Марина Геннадиевна,ИНБО-50-22,Б,Ж,Ангарск
22И7926,Алла Александровна Пономарева,ИНБО-50-22,Б,Ж,Пенза
